IP:PORT, LOSS, DELAY
162.159.195.44:4198,0.00%,280 ms
162.159.192.5:4198,0.00%,280 ms
162.159.195.142:4198,0.00%,280 ms
162.159.192.131:7559,0.00%,280 ms
188.114.96.114:4198,0.00%,280 ms
162.159.192.207:7559,0.00%,280 ms
188.114.98.55:4198,0.00%,280 ms
162.159.195.109:4198,0.00%,280 ms
188.114.97.34:7559,0.00%,281 ms
162.159.195.12:4198,0.00%,281 ms
188.114.96.48:7559,0.00%,281 ms
188.114.98.240:7559,0.00%,281 ms
188.114.99.26:7559,0.00%,281 ms
188.114.96.215:4198,0.00%,281 ms
188.114.98.250:7559,0.00%,281 ms
188.114.99.249:4198,0.00%,281 ms
188.114.96.154:7559,0.00%,281 ms
188.114.97.249:7559,0.00%,281 ms
188.114.98.218:7559,0.00%,281 ms
162.159.195.206:4198,0.00%,281 ms
188.114.97.63:7559,0.00%,281 ms
188.114.99.198:7559,0.00%,281 ms
188.114.96.215:7559,0.00%,281 ms
188.114.99.192:7559,0.00%,281 ms
188.114.97.247:7559,10.00%,340 ms
188.114.99.63:7559,10.00%,340 ms
188.114.96.120:4198,10.00%,340 ms
188.114.98.240:4198,10.00%,340 ms
162.159.195.142:7559,10.00%,340 ms
162.159.195.16:7559,10.00%,340 ms
162.159.195.69:7559,10.00%,353 ms
162.159.195.69:4198,10.00%,353 ms
188.114.97.155:7559,10.00%,353 ms
162.159.192.185:4198,10.00%,353 ms
162.159.192.230:7559,10.00%,353 ms
162.159.195.44:7559,10.00%,354 ms
162.159.195.34:4198,10.00%,354 ms
162.159.192.5:7559,10.00%,354 ms
162.159.195.176:4198,10.00%,354 ms
188.114.96.126:7559,10.00%,354 ms
162.159.192.231:7559,10.00%,354 ms
162.159.192.234:4198,10.00%,354 ms
188.114.97.155:4198,10.00%,354 ms
162.159.192.131:4198,10.00%,354 ms
188.114.99.138:7559,10.00%,354 ms
188.114.98.56:4198,10.00%,354 ms
188.114.98.99:4198,10.00%,354 ms
162.159.195.176:7559,10.00%,354 ms
162.159.195.194:4198,10.00%,354 ms
188.114.98.120:7559,10.00%,354 ms
188.114.96.187:4198,10.00%,354 ms
188.114.98.250:4198,10.00%,354 ms
188.114.99.58:4198,10.00%,354 ms
188.114.99.138:4198,10.00%,354 ms
188.114.97.123:4198,10.00%,354 ms
188.114.97.245:7559,10.00%,354 ms
188.114.97.42:7559,10.00%,354 ms
188.114.98.56:7559,10.00%,354 ms
188.114.99.172:7559,10.00%,354 ms
188.114.97.63:4198,10.00%,354 ms
188.114.99.198:4198,10.00%,354 ms
188.114.96.187:7559,10.00%,354 ms
188.114.99.127:4198,10.00%,354 ms
188.114.97.245:4198,10.00%,354 ms
188.114.96.198:7559,10.00%,354 ms
188.114.96.212:7559,20.00%,414 ms
188.114.97.91:4198,20.00%,414 ms
162.159.192.93:7559,20.00%,414 ms
188.114.99.58:7559,20.00%,414 ms
188.114.99.118:4198,20.00%,414 ms
162.159.192.93:4198,20.00%,414 ms
162.159.192.234:7559,20.00%,427 ms
188.114.97.182:7559,20.00%,427 ms
188.114.99.192:4198,20.00%,427 ms
188.114.98.218:4198,20.00%,427 ms
162.159.195.82:4198,20.00%,428 ms
162.159.195.34:7559,20.00%,428 ms
188.114.97.182:4198,20.00%,428 ms
162.159.195.225:4198,20.00%,428 ms
188.114.96.120:7559,20.00%,428 ms
188.114.99.118:7559,20.00%,429 ms
188.114.96.212:4198,20.00%,429 ms
188.114.96.126:4198,20.00%,429 ms
162.159.195.109:7559,20.00%,429 ms
162.159.192.185:7559,20.00%,429 ms
188.114.99.242:4198,20.00%,429 ms
162.159.195.82:7559,20.00%,429 ms
162.159.192.229:7559,20.00%,429 ms
188.114.98.139:7559,20.00%,429 ms
162.159.195.225:7559,20.00%,429 ms
162.159.195.9:4198,20.00%,429 ms
162.159.192.132:7559,20.00%,429 ms
162.159.192.132:4198,20.00%,429 ms
162.159.195.12:7559,20.00%,429 ms
188.114.97.224:7559,20.00%,429 ms
188.114.96.1:7559,20.00%,429 ms
162.159.192.207:4198,20.00%,429 ms
188.114.99.242:7559,20.00%,429 ms
188.114.97.34:4198,20.00%,429 ms
188.114.99.201:7559,20.00%,429 ms
188.114.98.99:7559,20.00%,429 ms
162.159.192.231:4198,20.00%,429 ms
188.114.96.153:4198,20.00%,429 ms
188.114.97.247:4198,20.00%,430 ms
188.114.96.164:4198,20.00%,430 ms
188.114.99.172:4198,20.00%,430 ms
188.114.97.91:7559,20.00%,430 ms
188.114.97.224:4198,30.00%,487 ms
188.114.96.1:4198,30.00%,487 ms
188.114.96.153:7559,30.00%,487 ms
188.114.98.252:4198,30.00%,489 ms
162.159.192.202:7559,30.00%,500 ms
188.114.98.43:7559,30.00%,500 ms
162.159.192.202:4198,30.00%,500 ms
188.114.99.26:4198,30.00%,500 ms
188.114.98.162:4198,30.00%,500 ms
188.114.98.120:4198,30.00%,500 ms
188.114.98.43:4198,30.00%,500 ms
188.114.97.249:4198,30.00%,500 ms
188.114.97.123:7559,30.00%,500 ms
188.114.96.48:4198,30.00%,500 ms
162.159.192.177:4198,30.00%,500 ms
188.114.96.114:7559,30.00%,500 ms
188.114.96.164:7559,30.00%,500 ms
188.114.96.198:4198,30.00%,500 ms
188.114.98.162:7559,30.00%,501 ms
188.114.98.252:7559,30.00%,501 ms
188.114.97.42:4198,30.00%,501 ms
